anime_id,eng_version,Score,Genres,Episodes,Type,Premiered,Members
5114,Fullmetal Alchemist:Brotherhood,9.19,"Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen",64,TV,Spring 2009,2248456
40028,Attack on Titan Final Season,9.17,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",16,TV,Winter 2021,733260
9253,Steins;Gate,9.11,"Thriller, Sci-Fi",24,TV,Spring 2011,1771162
38524,Attack on Titan Season 3 Part 2,9.1,"Action, Drama, Fantasy, Military, Mystery, Shounen, Super Power",10,TV,Spring 2019,1073626
28977,Gintama Season 4,9.1,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",51,TV,Spring 2015,404121
11061,Hunter x Hunter,9.1,"Action, Adventure, Fantasy, Shounen, Super Power",148,TV,Fall 2011,1673924
9969,Gintama Season 2,9.08,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",51,TV,Spring 2011,365579
820,Legend of the Galactic Heroes,9.07,"Military, Sci-Fi, Space, Drama",110,OVA,,230168
15417,Gintama:Enchousen,9.04,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",13,TV,Fall 2012,222819
28851,A Silent Voice,9.0,"Drama, School, Shounen",1,Movie,,1387607
35180,March Comes In Like A Lion 2nd Season,9.0,"Drama, Game, Seinen, Slice of Life",22,TV,Fall 2017,266243
34096,Gintama Season 5,8.99,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",12,TV,Winter 2017,201735
32281,Your Name.,8.96,"Romance, Supernatural, School, Drama",1,Movie,,1726660
4181,Clannad ~After Story~,8.96,"Slice of Life, Comedy, Supernatural, Drama, Romance",24,TV,Fall 2008,915885
15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.96,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",1,Movie,,171119
918,Gintama,8.96,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",201,TV,Spring 2006,754607
35247,Owarimonogatari Second Season,8.93,"Mystery, Comedy, Supernatural, Vampire",7,TV,Summer 2017,270878
2904,Code Geass:Lelouch of the Rebellion R2,8.91,"Action, Military, Sci-Fi, Super Power, Drama, Mecha",25,TV,Spring 2008,1268320
39486,Gintama: The Final,8.88,"Action, Sci-Fi, Comedy, Historical, Parody, Drama, Samurai, Shounen",1,Movie,,29811
32935,Haikyu!! 3rd Season,8.87,"Comedy, Sports, Drama, School, Shounen",10,TV,Fall 2016,727240
37491,Gintama.:Silver Soul Arc - Second Half War,8.86,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",14,TV,Summer 2018,114591
37510,Mob Psycho 100 II,8.84,"Action, Slice of Life, Comedy, Supernatural",13,TV,Winter 2019,835688
199,Spirited Away,8.83,"Adventure, Supernatural, Drama",1,Movie,,1245727
31758,Kizumonogatari III: Reiketsu-hen,8.82,"Action, Mystery, Supernatural, Vampire",1,Movie,,312062
36838,Gintama.:Silver Soul Arc,8.81,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",12,TV,Winter 2018,126835
33050,Fate/stay night:Heaven's Feel - III. Spring Song,8.79,"Action, Supernatural, Magic, Fantasy",1,Movie,,127531
33095,Descending Stories:Showa Genroku Rakugo Shinju,8.79,"Drama, Historical, Josei",12,TV,Winter 2017,140007
17074,Monogatari Series:Second Season,8.78,"Mystery, Comedy, Supernatural, Romance, Vampire",26,TV,Summer 2013,509401
1,Cowboy Bebop,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",26,TV,Spring 1998,1251960
19,Monster,8.76,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",74,TV,Spring 2004,614100
24701,Mushishi Zoku Shou 2nd Season,8.76,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",10,TV,Fall 2014,198954
263,Fighting Spirit,8.75,"Comedy, Sports, Drama, Shounen",75,TV,Fall 2000,383603
23273,Your Lie in April,8.74,"Drama, Music, Romance, School, Shounen",22,TV,Fall 2014,1442330
36862,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.74,"Sci-Fi, Adventure, Mystery, Drama, Fantasy",1,Movie,,216416
40591,Kaguya-sama:Love is War Season 2,8.74,"Comedy, Psychological, Romance, School, Seinen",12,TV,Spring 2020,654744
34599,Made in Abyss,8.74,"Sci-Fi, Adventure, Mystery, Drama, Fantasy",13,TV,Summer 2017,862410
28891,Haikyu!! 2nd Season,8.73,"Comedy, Sports, Drama, School, Shounen",25,TV,Fall 2015,874150
44,Samurai X:Trust and Betrayal,8.73,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen",4,OVA,,228484
21939,MUSHI-SHI -Next Passage-,8.72,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen",10,TV,Spring 2014,226522
